DM_glu5sa_m: Minimum = 0.0, Maximum = -2.1410632112560445e-07, Range = -2.1410632112560445e-07
DM_hcarn_c: Minimum = 0.0, Maximum = -1.0705315519269463e-07, Range = -1.0705315519269463e-07
DM_icit_h: Minimum = 0.0, Maximum = -1.7842190983409708e-07, Range = -1.7842190983409708e-07
DM_na1_c: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DM_na1_h: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DM_na1_m: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DM_na1_x: Minimum = 0.0, Maximum = 0.0015479690178568134, Range = 0.0015479690178568134
DM_no_h: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DM_o2D_u: Minimum = 5.877179352218523, Maximum = 12.76686689939157, Range = 6.889687547173047
DM_photon298_c: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DM_photon437_u: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DM_photon438_u: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DM_photon450_h: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DM_photon490_s: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DM_photon646_h: Minimum = 8.129960683773291, Maximum = 17.662144121658912, Range = 9.532183437885621
DM_photon673_u: Minimum = 0.0, Maximum = 27.558744514917993, Range = 27.558744514917993
DM_photon680_u: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DM_udg_m: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DM_urdglyc_m: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DM_pqa_h: Minimum = 0.0, Maximum = -2.019870852692374e-08, Range = -2.019870852692374e-08
DM_amob_m: Minimum = 1.031502737376456e-07, Maximum = 1.0315021936756276e-07, Range = -5.4370082840113915e-14
DM_12dgr18111Z160_c: Minimum = 0.0, Maximum = -2.8933287365187876e-08, Range = -2.8933287365187876e-08
DM_12dgr1819Z160_c: Minimum = 0.0, Maximum = -2.8933287910042763e-08, Range = -2.8933287910042763e-08
DM_dad_5_c: Minimum = 1.160440579548501e-05, Maximum = 1.1497352640058456e-05, Range = -1.0705315542655373e-07
DM_callose_c: Minimum = 0.0, Maximum = -8.921097148003345e-08, Range = -8.921097148003345e-08
